fiscal_year,source_file,raw_header_count,jurisdiction_row_count,national_total_found
2013,FY_2013_MFCU_Statistical_Chart.xlsx,17,50,yes
2014,FY_2014_MFCU_Statistical_Chart.xlsx,17,50,yes
2015,FY_2015_MFCU_Statistical_Chart.xlsx,18,50,yes
2016,FY_2016_MFCU_Statistical_Chart.xlsx,18,50,yes
2017,FY_2017_MFCU_Statistical_Chart.xlsx,18,50,yes
2018,FY_2018_MFCU_Statistical_Chart.xlsx,18,50,yes
2019,FY_2019_MFCU_Statistical_Chart.xlsx,18,52,yes
2020,FY_2020_MFCU_Statistical_Chart.xlsx,18,53,yes
2021,FY_2021_MFCU_Statistical_Chart.xlsx,18,53,yes
2022,FY_2022_MFCU_Statistical_Chart.xlsx,18,53,yes
2023,FY_2023_MFCU_Statistical_Chart.xlsx,18,53,yes
2024,FY_2024_MFCU_Statistical_Chart.xlsx,18,53,yes
2025,FY_2025_MFCU_Statistical_Chart.xlsx,18,53,yes
