fiscal_year,geography,total_medicaid_expenditures,total_medicaid_expenditures_billions,yoy_growth_pct,mfcu_grant_expenditures,total_recoveries,staff_on_board
2013,Michigan,12970899451,12.97,,4882449.49,24496893.16,33
2014,Michigan,14147522772,14.15,9.07,5392508.51,46562340.96,33
2015,Michigan,16561360132,16.56,17.06,5630862.10,6345522.67,32
2016,Michigan,17438676650,17.44,5.30,5053298.80,32312718.31,32
2017,Michigan,17365499168,17.37,-0.42,3725402.01,7171551.74,31
2018,Michigan,17085638296,17.09,-1.61,5114490.51,24596798.97,30
2019,Michigan,18989101820,18.99,11.14,5655914.73,7002961.96,30
2020,Michigan,19779677237,19.78,4.16,5419593,15567043,31
2021,Michigan,21340831168,21.34,7.89,6014701,10698548.66,30
2022,Michigan,21695810626,21.70,1.66,5863143,22964705.78,30
2023,Michigan,23741817895,23.74,9.43,6113464,29764369.11,34
2024,Michigan,25357658261,25.36,6.81,7092157.03,4767761.93,34
2025,Michigan,27306729224,27.31,7.69,6798542,17319947.35,33
2013,United States,453082711064,453.08,,230064269.58,2511630790.08,1905.50
2014,United States,488240409971,488.24,7.76,235051298.51,2005649085.90,1957.50
2015,United States,548190828914,548.19,12.28,250688894.95,744880347.07,1944
2016,United States,571229555606,571.23,4.20,258698147.30,1876532842.44,1965
2017,United States,596434360108,596.43,4.41,276364539.55,1801326509.46,2037
2018,United States,611976826895,611.98,2.61,294219708.11,859172372.06,2021
2019,United States,614908690223,614.91,0.48,302067049.63,1937173756.50,2051
2020,United States,678892781237,678.89,10.41,305842035,1027995702,2034
2021,United States,740285561048,740.29,9.04,314027657.37,1682817354.53,2048
2022,United States,823865414079,823.87,11.29,343111662.14,1057116938.70,2081
2023,United States,893144356932,893.14,8.41,368680254,1234747736.92,2096
2024,United States,948846651184.10,948.85,6.24,395822639.86,1368070676.21,2183
2025,United States,1031704529255.63,1031.70,8.73,423972300,1966591061.26,2259
