fiscal_year,jurisdiction,jurisdiction_type,total_investigations,fraud_investigations,abuse_neglect_investigations,total_indictments,fraud_indictments,abuse_neglect_indictments,total_convictions,fraud_convictions,abuse_neglect_convictions,civil_settlements_and_judgments,total_recoveries,total_criminal_recoveries,total_civil_recoveries,civil_recoveries_global,civil_recoveries_other,mfcu_grant_expenditures,total_medicaid_expenditures,staff_on_board
2013,Alabama,state,27,10,17,4,2,2,0,0,0,8,16206581.97,0,16206581.97,,,1110348.56,5216155508,8
2013,Alaska,state,219,202,17,58,57,1,19,17,2,10,1093135.83,53058.17,1040077.66,,,1156792.21,1446189444,8
2013,Arizona,state,205,142,63,74,52,22,52,42,10,7,1099666.41,651709.52,447956.89,,,2408103.01,8669976278,21
2013,Arkansas,state,90,52,38,20,6,14,10,3,7,16,14622465.48,32643.40,14589822.08,,,2211756.15,4428390909,21
2013,California,state,1157,718,439,129,69,60,68,41,27,19,57748650.12,19975037.87,37773612.25,,,30260728.38,66056757855,172
2013,Colorado,state,249,241,8,18,18,0,13,13,0,36,8131661.57,226252.30,7905409.27,,,2046626.88,5314867064,16
2013,Connecticut,state,64,53,11,16,15,1,7,6,1,11,28228260.78,140246.47,28088014.31,,,1629583.09,6723113621,11
2013,Delaware,state,559,478,81,5,0,5,7,0,7,9,398817.22,28000,370817.22,,,1877814.08,1655387071,17
2013,District of Columbia,district,186,115,71,1,0,1,6,4,2,15,7805483.56,3937197.76,3868285.80,,,2473054.50,2397083097,21
2013,Florida,state,658,596,62,67,39,28,66,48,18,28,40878717.82,9035624.86,31843092.96,,,14179445.78,19180703866,151
2013,Georgia,state,340,336,4,13,13,0,9,7,2,15,28881717.63,1793138.01,27088579.62,,,4029111,9359038151,42
2013,Hawaii,state,113,50,63,7,0,7,8,4,4,13,4537669.87,48017.26,4489652.61,,,1288535.16,1696678001,13
2013,Idaho,state,119,115,4,5,5,0,4,4,0,12,6553492.91,204312.44,6349180.47,,,695462.56,1761758211,7
2013,Illinois,state,311,236,75,62,41,21,64,38,26,21,60041822.01,917903.12,59123918.89,,,9541211.16,16536234179,58
2013,Indiana,state,1064,812,252,15,13,2,25,16,9,30,28246063.87,7934940.78,20311123.09,,,5236624,8367085690,52
2013,Iowa,state,240,205,35,50,31,19,31,18,13,13,10717543.20,150131.98,10567411.22,,,1040525,3805810851,9
2013,Kansas,state,146,127,19,8,7,1,13,13,0,15,23438027.48,2298194.77,21139832.71,,,1514339.11,2720787284,15
2013,Kentucky,state,118,104,14,10,8,2,8,8,0,17,39547875.72,289576.17,39258299.55,,,2608933.89,5931446503,28
2013,Louisiana,state,396,317,79,93,76,17,62,47,15,39,187601191,63873287,123727904,,,4863800.27,7181407383,52
2013,Maine,state,38,31,7,9,7,2,10,6,4,6,7403483.41,110123.75,7293359.66,,,700450.77,2959349126,6.50
2013,Maryland,state,320,284,36,13,7,6,17,12,5,29,22331246.36,198146.71,22133099.65,,,2839745.76,8052966208,28
2013,Massachusetts,state,683,497,186,22,20,2,17,17,0,32,29607993.29,884124.29,28723869,,,5271067,13687392762,43
2013,Michigan,state,485,436,49,19,11,8,28,11,17,16,24496893.16,308924.33,24187968.83,,,4882449.49,12970899451,33
2013,Minnesota,state,89,86,3,24,24,0,23,20,3,21,14988004.04,1922672.83,13065331.21,,,1464767.33,9343811915,14
2013,Mississippi,state,704,77,627,40,3,37,55,0,55,14,27809117.60,8785328.49,19023789.11,,,3087424,4879175168,35
2013,Missouri,state,301,280,21,8,7,1,14,13,1,31,47764282.06,2693334.92,45070947.14,,,1984422.71,9209870025,20
2013,Montana,state,27,26,1,4,4,0,6,6,0,9,985871.37,34845.22,951026.15,,,654446.82,1076709165,8
2013,Nebraska,state,97,75,22,4,4,0,14,9,5,19,8593146.34,175562.08,8417584.26,,,770565.87,1906330745,8
2013,Nevada,state,22,19,3,14,12,2,16,13,3,15,6261358.48,2648815.56,3612542.92,,,1904688.64,1918533349,16
2013,New Hampshire,state,38,31,7,2,0,2,4,1,3,15,3663350.94,152162,3511188.94,,,523159.65,1292037438,6
2013,New Jersey,state,364,352,12,22,19,3,14,11,3,14,33887934.39,1174165.64,32713768.75,,,4579682.87,11143784058,35
2013,New Mexico,state,112,107,5,8,8,0,10,9,1,30,2017386.44,31424.16,1985962.28,,,1827905.08,3471930215,17
2013,New York,state,801,677,124,175,131,44,138,110,28,69,134493521.82,19177053,115316468.82,,,45054451,54192911238,300
2013,North Carolina,state,418,402,16,20,20,0,30,28,2,18,47052648.87,14294434.84,32758214.03,,,5357886.03,12463184143,48
2013,Ohio,state,1074,745,329,161,145,16,150,135,15,23,45628255.47,5944515.34,39683740.13,,,7344992.26,17237076852,77
2013,Oklahoma,state,213,135,78,23,12,11,21,15,6,20,28399563.73,1360329.35,27039234.38,,,1986667,4752126532,22
2013,Oregon,state,50,46,4,27,23,4,29,27,2,13,15151849.81,895243.81,14256606,,,1806514.69,5600397595,14.50
2013,Pennsylvania,state,352,337,15,76,76,0,54,51,3,13,30729119.67,2666615.80,28062503.87,,,4730372.33,21698977826,33
2013,Rhode Island,state,71,48,23,17,9,8,9,9,0,4,4381891.74,62301.43,4319590.31,,,1184944.38,2018428048,11
2013,South Carolina,state,177,151,26,45,32,13,34,21,13,18,19983522.26,1609886.72,18373635.54,,,1451005.76,4921639527,15
2013,South Dakota,state,49,42,7,2,1,1,2,1,1,0,3053873.46,365164.76,2688708.70,,,384175.57,820357642,5
2013,Tennessee,state,213,187,26,22,14,8,24,10,14,17,78870738.99,1167951.58,77702787.41,,,3990162.19,9022143146,32
2013,Texas,state,1279,1165,114,112,104,8,97,82,15,18,196718960.26,81995796.84,114723163.42,,,15582973.37,29086162849,181
2013,Utah,state,106,93,13,2,2,0,4,3,1,15,7989088,49173,7939915,,,1817277.48,2229362038,13
2013,Vermont,state,134,116,18,9,7,2,9,9,0,12,5507996.31,58599.50,5449396.81,,,987268.31,1499744254,7
2013,Virginia,state,373,363,10,28,24,4,21,18,3,11,1008988889.68,704440001.12,304548888.56,,,11249106.19,7604993529,96
2013,Washington,state,164,152,12,10,10,0,11,9,2,16,16562703.65,192715.39,16369988.26,,,3596829,8407111070,30.50
2013,West Virginia,state,91,49,42,12,4,8,10,7,3,17,16148738.40,3779139.90,12369598.50,,,1112517.86,3181083472,14
2013,Wisconsin,state,350,339,11,13,10,3,9,8,1,2,54757244,54750,54702494,,,1274531.12,7390660088,11
2013,Wyoming,state,59,57,2,4,4,0,3,3,0,17,1623271.63,76387.73,1546883.90,,,489024.26,594690624,4
2014,Alabama,state,44,16,28,11,7,4,6,4,2,10,17988911.38,249298.54,17739612.84,,,1253192.56,5454050260,10
2014,Alaska,state,173,160,13,35,35,0,44,44,0,4,644325.57,535433.49,108892.08,,,1105990.03,1546569264,8
2014,Arizona,state,298,209,89,61,41,20,44,27,17,7,1876381.38,305619.47,1570761.91,,,2316273.90,9452683998,20
2014,Arkansas,state,108,24,84,15,6,9,22,5,17,15,2228764.66,127656,2101108.66,,,2454099.72,5154278818,22
2014,California,state,1194,671,523,114,53,61,97,59,38,20,77622974.52,22713170.28,54909804.24,,,26158835.03,68248444914,193
