fiscal_year,geography,total_medicaid_expenditures,total_medicaid_expenditures_billions,yoy_growth_pct,mfcu_grant_expenditures,total_recoveries,staff_on_board
2013,Michigan,12970899451,12.97,,4882449.49,24496893.16,33
2014,Michigan,14147522772,14.15,9.07,5392508.51,46562340.96,33
2015,Michigan,16561360132,16.56,17.06,5630862.10,6345522.67,32
2016,Michigan,17438676650,17.44,5.30,5053298.80,32312718.31,32
2017,Michigan,17365499168,17.37,-0.42,3725402.01,7171551.74,31
2018,Michigan,17085638296,17.09,-1.61,5114490.51,24596798.97,30
2019,Michigan,18989101820,18.99,11.14,5655914.73,7002961.96,30
2020,Michigan,19779677237,19.78,4.16,5419593,15567043,31
2021,Michigan,21340831168,21.34,7.89,6014701,10698548.66,30
2022,Michigan,21695810626,21.70,1.66,5863143,22964705.78,30
2023,Michigan,23741817895,23.74,9.43,6113464,29764369.11,34
2024,Michigan,25357658261,25.36,6.81,7092157.03,4767761.93,34
2025,Michigan,27306729224,27.31,7.69,6798542,17319947.35,33
