fiscal_year,geography,total_medicaid_expenditures,total_medicaid_expenditures_billions,yoy_growth_pct,mfcu_grant_expenditures,total_recoveries,staff_on_board
2013,United States,453082711064,453.08,,230064269.58,2511630790.08,1905.50
2014,United States,488240409971,488.24,7.76,235051298.51,2005649085.90,1957.50
2015,United States,548190828914,548.19,12.28,250688894.95,744880347.07,1944
2016,United States,571229555606,571.23,4.20,258698147.30,1876532842.44,1965
2017,United States,596434360108,596.43,4.41,276364539.55,1801326509.46,2037
2018,United States,611976826895,611.98,2.61,294219708.11,859172372.06,2021
2019,United States,614908690223,614.91,0.48,302067049.63,1937173756.50,2051
2020,United States,678892781237,678.89,10.41,305842035,1027995702,2034
2021,United States,740285561048,740.29,9.04,314027657.37,1682817354.53,2048
2022,United States,823865414079,823.87,11.29,343111662.14,1057116938.70,2081
2023,United States,893144356932,893.14,8.41,368680254,1234747736.92,2096
2024,United States,948846651184.10,948.85,6.24,395822639.86,1368070676.21,2183
2025,United States,1031704529255.63,1031.70,8.73,423972300,1966591061.26,2259
