fiscal_year,jurisdiction,total_investigations,fraud_investigations,abuse_neglect_investigations,total_indictments,fraud_indictments,abuse_neglect_indictments,total_convictions,fraud_convictions,abuse_neglect_convictions,civil_settlements_and_judgments,total_recoveries,total_criminal_recoveries,total_civil_recoveries,civil_recoveries_global,civil_recoveries_other,mfcu_grant_expenditures,total_medicaid_expenditures,staff_on_board
2013,Total,15515,12314,3201,1602,1206,396,1355,1003,352,888,2511630790.08,968898961.97,1542731828.11,,,230064269.58,453082711064,1905.50
2014,Total,16453,13173,3280,1672,1194,478,1352,981,371,884,2005649085.90,293514262.70,1712134823.20,,,235051298.51,488240409971,1957.50
2015,Grand Total,17665,14441,3224,1892,1387,505,1553,1097,456,800,744880347.07,348154830.33,,146926638.80,249798877.94,250688894.95,548190828914,1944
2016,Grand Total,18730,15509,3221,1721,1249,472,1564,1160,404,998,1876532842.44,368498732.52,,1225709487.46,282324622.46,258698147.30,571229555606,1965
2017,Grand Total,18713,15302,3411,1761,1311,450,1528,1157,371,961,1801326509.46,693372320.16,,343020200.31,764933988.99,276364539.55,596434360108,2037
2018,Grand Total,18785,15205,3580,1796,1316,480,1503,1109,394,810,859172372.06,314345098.91,,366570482.21,178256790.94,294219708.11,611976826895,2021
2019,Grand Total,19153,15520,3633,1727,1275,452,1527,1111,416,658,1937173756.50,305095878.24,,1172076825.50,460001052.76,302067049.63,614908690223,2051
2020,Grand Total,19720,16399,3321,1325,987,338,1017,774,243,786,1027995702,173194611,,636541119,218259966,305842035,678892781237,2034
2021,Grand Total,18815,15400,3415,1413,962,451,1105,780,325,716,1682817354.53,856634175.55,,447509119.56,378674059.42,314027657.37,740285561048,2048
2022,Grand Total,17806,14531,3275,1275,885,390,1327,946,381,553,1057116938.70,415653074.99,,246165216.74,395298646.97,343111662.14,823865414079,2081
2023,Grand Total,16833,13739,3094,1342,912,430,1143,814,329,436,1234747736.92,272227586.57,,23401294.68,939118855.67,368680254,893144356932,2096
2024,Total,16688,13528,3160,1330,973,357,1151,817,334,493,1368070676.21,961344494.91,,126926622.58,279799558.72,395822639.86,948846651184.10,2183
2025,Total,15921,12902,3019,1453,1060,393,1185,856,329,674,1966591061.26,1260618481.50,,199804441.33,506168138.43,423972300,1031704529255.63,2259
