fiscal_year,jurisdiction,has_observed_data,total_medicaid_expenditures,mfcu_grant_expenditures,total_recoveries,staff_on_board
2013,Alabama,yes,5216155508,1110348.56,16206581.97,8
2013,Alaska,yes,1446189444,1156792.21,1093135.83,8
2013,Arizona,yes,8669976278,2408103.01,1099666.41,21
2013,Arkansas,yes,4428390909,2211756.15,14622465.48,21
2013,California,yes,66056757855,30260728.38,57748650.12,172
2013,Colorado,yes,5314867064,2046626.88,8131661.57,16
2013,Connecticut,yes,6723113621,1629583.09,28228260.78,11
2013,Delaware,yes,1655387071,1877814.08,398817.22,17
2013,Florida,yes,19180703866,14179445.78,40878717.82,151
2013,Georgia,yes,9359038151,4029111,28881717.63,42
2013,Hawaii,yes,1696678001,1288535.16,4537669.87,13
2013,Idaho,yes,1761758211,695462.56,6553492.91,7
2013,Illinois,yes,16536234179,9541211.16,60041822.01,58
2013,Indiana,yes,8367085690,5236624,28246063.87,52
2013,Iowa,yes,3805810851,1040525,10717543.20,9
2013,Kansas,yes,2720787284,1514339.11,23438027.48,15
2013,Kentucky,yes,5931446503,2608933.89,39547875.72,28
2013,Louisiana,yes,7181407383,4863800.27,187601191,52
2013,Maine,yes,2959349126,700450.77,7403483.41,6.50
2013,Maryland,yes,8052966208,2839745.76,22331246.36,28
2013,Massachusetts,yes,13687392762,5271067,29607993.29,43
2013,Michigan,yes,12970899451,4882449.49,24496893.16,33
2013,Minnesota,yes,9343811915,1464767.33,14988004.04,14
2013,Mississippi,yes,4879175168,3087424,27809117.60,35
2013,Missouri,yes,9209870025,1984422.71,47764282.06,20
2013,Montana,yes,1076709165,654446.82,985871.37,8
2013,Nebraska,yes,1906330745,770565.87,8593146.34,8
2013,Nevada,yes,1918533349,1904688.64,6261358.48,16
2013,New Hampshire,yes,1292037438,523159.65,3663350.94,6
2013,New Jersey,yes,11143784058,4579682.87,33887934.39,35
2013,New Mexico,yes,3471930215,1827905.08,2017386.44,17
2013,New York,yes,54192911238,45054451,134493521.82,300
2013,North Carolina,yes,12463184143,5357886.03,47052648.87,48
2013,North Dakota,no,,,,
2013,Ohio,yes,17237076852,7344992.26,45628255.47,77
2013,Oklahoma,yes,4752126532,1986667,28399563.73,22
2013,Oregon,yes,5600397595,1806514.69,15151849.81,14.50
2013,Pennsylvania,yes,21698977826,4730372.33,30729119.67,33
2013,Rhode Island,yes,2018428048,1184944.38,4381891.74,11
2013,South Carolina,yes,4921639527,1451005.76,19983522.26,15
2013,South Dakota,yes,820357642,384175.57,3053873.46,5
2013,Tennessee,yes,9022143146,3990162.19,78870738.99,32
2013,Texas,yes,29086162849,15582973.37,196718960.26,181
2013,Utah,yes,2229362038,1817277.48,7989088,13
2013,Vermont,yes,1499744254,987268.31,5507996.31,7
2013,Virginia,yes,7604993529,11249106.19,1008988889.68,96
2013,Washington,yes,8407111070,3596829,16562703.65,30.50
2013,West Virginia,yes,3181083472,1112517.86,16148738.40,14
2013,Wisconsin,yes,7390660088,1274531.12,54757244,11
2013,Wyoming,yes,594690624,489024.26,1623271.63,4
2014,Alabama,yes,5454050260,1253192.56,17988911.38,10
2014,Alaska,yes,1546569264,1105990.03,644325.57,8
2014,Arizona,yes,9452683998,2316273.90,1876381.38,20
2014,Arkansas,yes,5154278818,2454099.72,2228764.66,22
2014,California,yes,68248444914,26158835.03,77622974.52,193
2014,Colorado,yes,6265152763,1615524.84,9999945.37,17
2014,Connecticut,yes,7167946629,1989924.12,3030886.46,13
2014,Delaware,yes,1805108123,1944099.15,1949633.53,17
2014,Florida,yes,20818233200,15506673.66,91881130.81,161
2014,Georgia,yes,9858134878,4523319.47,48703251.01,46
2014,Hawaii,yes,2049769576,1301425.29,3079615.23,13
2014,Idaho,yes,1692361521,656936.78,801857.53,8
2014,Illinois,yes,17726308920,7719034.17,90872897.09,45
2014,Indiana,yes,9600134668,6119574,54591556.99,55
2014,Iowa,yes,4110153654,1020053.20,24403657.64,8
2014,Kansas,yes,2933837600,1330521.73,27437135.25,14
2014,Kentucky,yes,8017227454,2989940.10,66222772.25,28
2014,Louisiana,yes,7337796633,5134743.68,245305060,52
2014,Maine,yes,2528826380,728261.61,9776295.20,8
2014,Maryland,yes,9625821402,3510342,41493941.04,31
2014,Massachusetts,yes,14952760958,5470721,59771098.02,41
2014,Michigan,yes,14147522772,5392508.51,46562340.96,33
2014,Minnesota,yes,10429856324,1539616.87,18518275.21,16
2014,Mississippi,yes,5016224369,3318064,17314765.90,33
2014,Missouri,yes,9238680706,2047671.44,8224673.47,21
2014,Montana,yes,1146046567,721553.25,438209.11,8
2014,Nebraska,yes,1907477721,881048.80,10058619.95,9
2014,Nevada,yes,2431932881,1887577.46,11292356.58,18
2014,New Hampshire,yes,1420746975,724113.05,4409810.30,7
2014,New Jersey,yes,13193930655,4442399.61,45632565.79,31
2014,New Mexico,yes,4349892086,1851072.67,9389207.60,18
2014,New York,yes,53915930694,45814464.43,378434543,294
2014,North Carolina,yes,12655046228,5190480.80,72432176.86,44
2014,North Dakota,no,,,,
2014,Ohio,yes,20223303745,8830152.53,71168788.50,89
2014,Oklahoma,yes,4925190754,2391463,18420992.06,22
2014,Oregon,yes,7291147501,2067043.64,17025308.47,15.50
2014,Pennsylvania,yes,24414853435,5352554.37,5707431.30,44
2014,Rhode Island,yes,2566378392,1192427.99,3677355.38,11
