geography,model_family,selected_model,fiscal_year,forecast,projection_note
Michigan,time_series,prophet,2026,27007122700.26,Selected as lowest-MAPE model on the 2023-2025 holdout window.
Michigan,time_series,prophet,2027,28076356837.74,Selected as lowest-MAPE model on the 2023-2025 holdout window.
Michigan,time_series,prophet,2028,29148520383.82,Selected as lowest-MAPE model on the 2023-2025 holdout window.
Michigan,time_series,prophet,2029,30217754521.3,Selected as lowest-MAPE model on the 2023-2025 holdout window.
Michigan,time_series,prophet,2030,31286988658.78,Selected as lowest-MAPE model on the 2023-2025 holdout window.
Michigan,time_series,prophet,2031,32356222796.26,Selected as lowest-MAPE model on the 2023-2025 holdout window.
Michigan,time_series,prophet,2032,33428386342.34,Selected as lowest-MAPE model on the 2023-2025 holdout window.
Michigan,time_series,prophet,2033,34497620479.82,Selected as lowest-MAPE model on the 2023-2025 holdout window.
Michigan,time_series,prophet,2034,35566854617.31,Selected as lowest-MAPE model on the 2023-2025 holdout window.
Michigan,time_series,prophet,2035,36636088754.79,Selected as lowest-MAPE model on the 2023-2025 holdout window.
United States,time_series,prophet,2026,1096589361926.04,Selected as lowest-MAPE model on the 2023-2025 holdout window.
United States,time_series,prophet,2027,1165770371941.43,Selected as lowest-MAPE model on the 2023-2025 holdout window.
United States,time_series,prophet,2028,1235140918970.57,Selected as lowest-MAPE model on the 2023-2025 holdout window.
United States,time_series,prophet,2029,1304321928985.97,Selected as lowest-MAPE model on the 2023-2025 holdout window.
United States,time_series,prophet,2030,1373502939001.37,Selected as lowest-MAPE model on the 2023-2025 holdout window.
United States,time_series,prophet,2031,1442683949016.76,Selected as lowest-MAPE model on the 2023-2025 holdout window.
United States,time_series,prophet,2032,1512054496045.9,Selected as lowest-MAPE model on the 2023-2025 holdout window.
United States,time_series,prophet,2033,1581235506061.3,Selected as lowest-MAPE model on the 2023-2025 holdout window.
United States,time_series,prophet,2034,1650416516076.69,Selected as lowest-MAPE model on the 2023-2025 holdout window.
United States,time_series,prophet,2035,1719597526092.09,Selected as lowest-MAPE model on the 2023-2025 holdout window.
