geography,fiscal_year,forecast,lower_bound,upper_bound,forecast_billions,lower_bound_billions,upper_bound_billions
Michigan,2026,28872734005.35283,28057435898.961475,29651251682.53929,28.87273400535283,28.057435898961476,29.651251682539293
Michigan,2027,30580524560.84961,28645014898.12644,32379802962.957306,30.58052456084961,28.645014898126437,32.37980296295731
Michigan,2028,32292993994.580624,28790646698.73267,35864228698.0984,32.29299399458063,28.79064669873267,35.864228698098394
Michigan,2029,34000784550.077404,29148547961.911144,39618386568.04652,34.000784550077405,29.148547961911145,39.61838656804652
Michigan,2030,35708575105.57419,29042253455.298985,43278073528.036476,35.70857510557419,29.042253455298983,43.27807352803648
Michigan,2031,37416365661.07097,28989797207.051434,47577764348.08849,37.41636566107097,28.989797207051435,47.57776434808849
Michigan,2032,39128835094.80199,28792705419.433285,51398353845.5963,39.128835094801985,28.792705419433286,51.3983538455963
Michigan,2033,40836625650.29877,28291695668.223873,55670408171.91141,40.836625650298764,28.291695668223873,55.670408171911404
Michigan,2034,42544416205.79555,27824486668.72501,60072594239.81218,42.54441620579555,27.82448666872501,60.07259423981218
Michigan,2035,44252206761.29233,26152303221.79869,65001619191.443184,44.25220676129233,26.15230322179869,65.00161919144318
United States,2026,1099604148870.0176,1074927514657.4415,1125308460509.0593,1099.6041488700175,1074.9275146574416,1125.3084605090594
United States,2027,1170277741921.3496,1117229398571.8196,1236567537973.7793,1170.2777419213496,1117.2293985718195,1236.5675379737793
United States,2028,1241144961255.0137,1151208985468.8416,1355003790041.1162,1241.1449612550136,1151.2089854688415,1355.0037900411162
United States,2029,1311818554306.3457,1166586589346.5474,1472893230209.181,1311.8185543063457,1166.5865893465473,1472.893230209181
United States,2030,1382492147357.6775,1185153470338.9126,1591690440710.7007,1382.4921473576776,1185.1534703389125,1591.6904407107006
United States,2031,1453165740409.0095,1198279591467.7302,1718694482744.5132,1453.1657404090095,1198.2795914677301,1718.6944827445132
United States,2032,1524032959742.6743,1210564957366.351,1850063630041.0547,1524.0329597426744,1210.564957366351,1850.0636300410547
United States,2033,1594706552794.006,1221947580093.5747,1976997759434.138,1594.706552794006,1221.9475800935747,1976.9977594341378
United States,2034,1665380145845.3381,1211958838491.0552,2125827611073.5352,1665.3801458453381,1211.958838491055,2125.827611073535
United States,2035,1736053738896.6694,1194913642155.13,2298220498515.2886,1736.0537388966695,1194.91364215513,2298.2204985152885
