geography,model,candidate_config,rolling_cv_mape,fit_stat_name,fit_stat_value,selected,selection_rule
Michigan,arima,"order=(0, 0, 1)",11.62,aic,460.64,no,Lowest rolling CV MAPE; ties broken by lower complexity and lower AIC.
Michigan,arima,"order=(0, 0, 2)",9.67,aic,458.36,no,Lowest rolling CV MAPE; ties broken by lower complexity and lower AIC.
Michigan,arima,"order=(0, 1, 0)",5.74,aic,405.13,no,Lowest rolling CV MAPE; ties broken by lower complexity and lower AIC.
Michigan,arima,"order=(0, 1, 1)",5.34,aic,405.76,no,Lowest rolling CV MAPE; ties broken by lower complexity and lower AIC.
Michigan,arima,"order=(0, 1, 2)",5.02,aic,1130.88,no,Lowest rolling CV MAPE; ties broken by lower complexity and lower AIC.
Michigan,arima,"order=(0, 2, 0)",6.57,aic,360.31,no,Lowest rolling CV MAPE; ties broken by lower complexity and lower AIC.
Michigan,arima,"order=(0, 2, 1)",6.08,aic,361.06,no,Lowest rolling CV MAPE; ties broken by lower complexity and lower AIC.
Michigan,arima,"order=(0, 2, 2)",6.29,aic,361.55,no,Lowest rolling CV MAPE; ties broken by lower complexity and lower AIC.
Michigan,arima,"order=(1, 0, 0)",7.12,aic,456.05,no,Lowest rolling CV MAPE; ties broken by lower complexity and lower AIC.
Michigan,arima,"order=(1, 0, 1)",5.95,aic,455.94,no,Lowest rolling CV MAPE; ties broken by lower complexity and lower AIC.
Michigan,arima,"order=(1, 0, 2)",7.58,aic,497.26,no,Lowest rolling CV MAPE; ties broken by lower complexity and lower AIC.
Michigan,arima,"order=(1, 1, 0)",5.19,aic,405.21,no,Lowest rolling CV MAPE; ties broken by lower complexity and lower AIC.
Michigan,arima,"order=(1, 1, 1)",5.39,aic,402.43,no,Lowest rolling CV MAPE; ties broken by lower complexity and lower AIC.
Michigan,arima,"order=(1, 1, 2)",4.88,aic,80115971204839475511296.00,no,Lowest rolling CV MAPE; ties broken by lower complexity and lower AIC.
Michigan,arima,"order=(1, 2, 0)",5.99,aic,360.35,no,Lowest rolling CV MAPE; ties broken by lower complexity and lower AIC.
Michigan,arima,"order=(1, 2, 1)",6.68,aic,358.79,no,Lowest rolling CV MAPE; ties broken by lower complexity and lower AIC.
Michigan,arima,"order=(1, 2, 2)",5.79,aic,362.08,no,Lowest rolling CV MAPE; ties broken by lower complexity and lower AIC.
Michigan,arima,"order=(2, 0, 0)",6.45,aic,454.61,no,Lowest rolling CV MAPE; ties broken by lower complexity and lower AIC.
