geography,fiscal_year,forecast,lower_bound,upper_bound,forecast_billions,lower_bound_billions,upper_bound_billions
Michigan,2026,27007122700.259792,25399484429.39747,28607999788.196434,27.007122700259792,25.399484429397468,28.607999788196434
Michigan,2027,28076356837.741596,26459200794.357655,29797011183.014698,28.076356837741596,26.459200794357656,29.7970111830147
Michigan,2028,29148520383.81923,27625081202.62249,30763101010.73404,29.14852038381923,27.62508120262249,30.76310101073404
Michigan,2029,30217754521.30103,28582215915.363586,31869497236.057106,30.21775452130103,28.582215915363587,31.869497236057107
Michigan,2030,31286988658.782833,29729635611.010838,32958982851.43273,31.286988658782832,29.72963561101084,32.95898285143273
Michigan,2031,32356222796.26463,30765055652.16608,33917506208.880257,32.35622279626463,30.76505565216608,33.917506208880255
Michigan,2032,33428386342.342274,31762945126.598812,35103415511.83829,33.42838634234227,31.76294512659881,35.103415511838286
Michigan,2033,34497620479.82407,32801999133.42416,36084454854.68542,34.49762047982407,32.80199913342416,36.08445485468542
Michigan,2034,35566854617.30587,34038513316.43815,37144966050.8899,35.56685461730587,34.03851331643815,37.1449660508899
Michigan,2035,36636088754.78767,35061881719.74683,38243900501.43353,36.636088754787664,35.061881719746836,38.24390050143353
United States,2026,1096589361926.0367,1071197817528.911,1126249213647.3901,1096.5893619260366,1071.197817528911,1126.2492136473902
United States,2027,1165770371941.4338,1098400994058.4431,1239482792231.9966,1165.770371941434,1098.400994058443,1239.4827922319967
United States,2028,1235140918970.5715,1107915227724.3862,1365484190159.453,1235.1409189705714,1107.9152277243863,1365.484190159453
United States,2029,1304321928985.9685,1110390629368.1152,1506865651324.3206,1304.3219289859685,1110.3906293681152,1506.8656513243207
United States,2030,1373502939001.3655,1092149772587.7888,1664569240865.9358,1373.5029390013656,1092.149772587789,1664.5692408659359
United States,2031,1442683949016.7625,1077827129493.3204,1810144559061.1948,1442.6839490167624,1077.8271294933204,1810.1445590611947
United States,2032,1512054496045.9004,1055615632343.5248,1972495194376.1157,1512.0544960459004,1055.6156323435248,1972.4951943761157
United States,2033,1581235506061.2974,1025891022940.327,2153938388240.039,1581.2355060612974,1025.891022940327,2153.938388240039
United States,2034,1650416516076.6943,994428841209.4117,2349504320449.958,1650.4165160766943,994.4288412094118,2349.504320449958
United States,2035,1719597526092.0913,963232120255.678,2519334017122.2373,1719.5975260920914,963.232120255678,2519.334017122237
